time,Clock.time,PDP.current,PDP.voltage,PDP.temperature,PDP.resistance,PDP.unloaded_voltage,Drive.override_gyro,Drive.override_autoshift,Drive.gear,OI.left,OI.right,OI.commandingStraight,OI.fwd,OI.rot,Stick_1_Axis_0.value,Stick_1_Axis_3+Stick_1_Axis_2+.Value,pneumatics.pressure,left.velocity,left.position,left.setpoint,left.error,left.battery_voltage,left.voltage,left.current,left.control_mode,left.gear,left.resistance,left.velocity_PID,right.velocity,right.position,right.setpoint,right.error,right.battery_voltage,right.voltage,right.current,right.control_mode,right.gear,right.resistance,right.velocity_PID,AHRS.heading,AHRS.angular_displacement,AHRS.angular_vel,AHRS.x_accel,AHRS.y_accel,AHRS.pitch,UnidirectionalNavXDefaultDrive.drivingStraight,UnidirectionalNavXDefaultDrive.running,UnidirectionalNavXDefaultDrive.raw_output,UnidirectionalNavXDefaultDrive.processed_output,UnidirectionalNavXDefaultDrive.final_output,LimeLightPos.velocity,LimeLightPos.position,LimeLightPos.setpoint,LimeLightPos.error,LimeLightPos.battery_voltage,LimeLightPos.voltage,LimeLightPos.current,LimeLightPos.control_mode,LimeLightPos.gear,LimeLightPos.resistance,LimeLightPos.velocity_PID,arm.velocity,arm.position,arm.setpoint,arm.error,arm.battery_voltage,arm.voltage,arm.current,arm.control_mode,arm.gear,arm.resistance,arm.velocity_PID
1869,8366,8.875,12.8,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.5488294,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.600006103515625,10.59000015258789,-0.0,0.06434000305598601,-0.03217000152799301,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
2181,8666,8.875,12.85,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.600006103515625,10.59000015258789,-0.0,-0.06434000305598601,0.06434000305598601,1.1799999475479126,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
2257,8772,8.875,12.85,34.361878539469984,NaN,NaN,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.600006103515625,10.59000015258789,-0.0,-0.12868000611197203,-0.06434000305598601,1.1799999475479126,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
2325,8829,8.875,12.85,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.5488294,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.600006103515625,10.59000015258789,-0.0,0.0,0.0,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
2406,8908,8.875,12.85,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.0,0.0,1.1799999475479126,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
2483,8992,8.875,12.85,34.361878539469984,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.0,0.0,1.1799999475479126,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
2559,9075,8.875,12.8,33.32937016989456,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.0,0.03217000152799301,1.1799999475479126,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,0,null,true
2626,9124,8.875,12.8,33.32937016989456,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.5488294,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,-0.03217000152799301,0.22519000695087016,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,0,null,true
2697,9204,8.875,12.85,33.32937016989456,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.48779425,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,-0.16084999640472233,0.22519000695087016,1.1699999570846558,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
2768,9284,8.875,12.8,33.32937016989456,Infinity,Infinity,false,false,1,0.0,0.0,true,0.0,0.0,0.0,0.0,-12.5488294,0.0,0.0,0.0,0.0,12.6,0.0,0.0,PercentOutput,1,NaN,true,0.0,0.0,0.0,0.0,12.65,0.0,0.0,PercentOutput,1,NaN,true,10.589996337890625,10.579999923706055,-0.0,0.03217000152799301,0.0,1.1799999475479126,false,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,PercentOutput,0,null,true,0.0,0.0,0.0,0.0,12.55,0.0,0.0,PercentOutput,0,null,true
